OFFICIAL_SYMBOL,IDENTIFIER_ID,Gene_Type
Trp53,22059,PROTEIN_CODING
Apoe,11816,PROTEIN_CODING
Tlr4,21898,PROTEIN_CODING
Tnf,21926,PROTEIN_CODING
Ifng,15978,PROTEIN_CODING
Lepr,16847,PROTEIN_CODING
Lep,16846,PROTEIN_CODING
Il10,16153,PROTEIN_CODING
Il6,16193,PROTEIN_CODING
Tgfb1,21803,PROTEIN_CODING
Ctnnb1,12387,PROTEIN_CODING
Myd88,17874,PROTEIN_CODING
Dmd,13405,PROTEIN_CODING
Tlr2,24088,PROTEIN_CODING
Fas,14102,PROTEIN_CODING
Nfe2l2,18024,PROTEIN_CODING
Stat3,20848,PROTEIN_CODING
Pten,19211,PROTEIN_CODING
Shh,20423,PROTEIN_CODING
Apc,11789,PROTEIN_CODING
Akt1,11651,PROTEIN_CODING
Rag1,19373,PROTEIN_CODING
Nos2,18126,PROTEIN_CODING
Ldlr,16835,PROTEIN_CODING
Lyz2,17105,PROTEIN_CODING
Pparg,19016,PROTEIN_CODING
Kit,16590,PROTEIN_CODING
Kras,16653,PROTEIN_CODING
Foxp3,20371,PROTEIN_CODING
Vegfa,22339,PROTEIN_CODING
Casp3,12367,PROTEIN_CODING
Nfkb1,18033,PROTEIN_CODING
Hif1a,15251,PROTEIN_CODING
Prnp,19122,PROTEIN_CODING
App,11820,PROTEIN_CODING
Pecam1,18613,PROTEIN_CODING
Il17a,16171,PROTEIN_CODING
Bdnf,12064,PROTEIN_CODING
Esr1,13982,PROTEIN_CODING
Il4,16189,PROTEIN_CODING
Nlrp3,216799,PROTEIN_CODING
Nos3,18127,PROTEIN_CODING
Notch1,18128,PROTEIN_CODING
Psen1,19164,PROTEIN_CODING
Pax6,18508,PROTEIN_CODING
Mapk14,26416,PROTEIN_CODING
Sirt1,93759,PROTEIN_CODING
Mtor,56717,PROTEIN_CODING
Ptgs2,19225,PROTEIN_CODING
Prkdc,19090,PROTEIN_CODING
Igf1,16000,PROTEIN_CODING
Rag2,19374,PROTEIN_CODING
Tnfrsf1a,21937,PROTEIN_CODING
Cdh1,12550,PROTEIN_CODING
Cx3cr1,13051,PROTEIN_CODING
Myc,17869,PROTEIN_CODING
Gja1,14609,PROTEIN_CODING
Il1b,16176,PROTEIN_CODING
Ifnar1,15975,PROTEIN_CODING
Mmp9,17395,PROTEIN_CODING
Mki67,17345,PROTEIN_CODING
Ppara,19013,PROTEIN_CODING
Cdkn2a,12578,PROTEIN_CODING
Sox9,20682,PROTEIN_CODING
Mapk1,26413,PROTEIN_CODING
Ccl2,20296,PROTEIN_CODING
Sox2,20674,PROTEIN_CODING
Bmp4,12159,PROTEIN_CODING
Hmox1,15368,PROTEIN_CODING
Ahr,11622,PROTEIN_CODING
Cnr1,12801,PROTEIN_CODING
Egfr,13649,PROTEIN_CODING
Trpv1,193034,PROTEIN_CODING
Cdkn1a,12575,PROTEIN_CODING
Ccr2,12772,PROTEIN_CODING
Pvalb,19293,PROTEIN_CODING
Tubb3,22152,PROTEIN_CODING
B2m,12010,PROTEIN_CODING
Fmr1,14265,PROTEIN_CODING
Gsk3b,56637,PROTEIN_CODING
Nos1,18125,PROTEIN_CODING
Spp1,20750,PROTEIN_CODING
Tlr9,81897,PROTEIN_CODING
Sod1,20655,PROTEIN_CODING
Cav1,12389,PROTEIN_CODING
Mapt,17762,PROTEIN_CODING
Ptch1,19206,PROTEIN_CODING
Mapk3,26417,PROTEIN_CODING
Htt,15194,PROTEIN_CODING
Mecp2,17257,PROTEIN_CODING
Stat1,20846,PROTEIN_CODING
Cybb,13058,PROTEIN_CODING
Gfap,14580,PROTEIN_CODING
Ins2,16334,PROTEIN_CODING
Ppargc1a,19017,PROTEIN_CODING
Acta2,11475,PROTEIN_CODING
Isl1,16392,PROTEIN_CODING
Kdr,16542,PROTEIN_CODING
Rb1,19645,PROTEIN_CODING
Ar,11835,PROTEIN_CODING
Bax,12028,PROTEIN_CODING
Col1a1,12842,PROTEIN_CODING
Fasl,14103,PROTEIN_CODING
Rela,19697,PROTEIN_CODING
Runx2,12393,PROTEIN_CODING
Cdkn1b,12576,PROTEIN_CODING
Cftr,12638,PROTEIN_CODING
H2-Ab1,14961,PROTEIN_CODING
Il2,16183,PROTEIN_CODING
Itgb1,16412,PROTEIN_CODING
Pde6b,18587,PROTEIN_CODING
Reln,19699,PROTEIN_CODING
Adipoq,11450,PROTEIN_CODING
Tnfsf11,21943,PROTEIN_CODING
Bcl2,12043,PROTEIN_CODING
Pou5f1,18999,PROTEIN_CODING
Casp1,12362,PROTEIN_CODING
Hmgb1,15289,PROTEIN_CODING
Rac1,19353,PROTEIN_CODING
Bmp2,12156,PROTEIN_CODING
Mapk8,26419,PROTEIN_CODING
Fgf8,14179,PROTEIN_CODING
Foxn1,15218,PROTEIN_CODING
Tcra,21473,PROTEIN_CODING
Th,21823,PROTEIN_CODING
Parp1,11545,PROTEIN_CODING
Calb1,12307,PROTEIN_CODING
Smad3,17127,PROTEIN_CODING
Ngfr,18053,PROTEIN_CODING
Tcrb,21577,PROTEIN_CODING
Foxo1,56458,PROTEIN_CODING
Nr3c1,14815,PROTEIN_CODING
Nes,18008,PROTEIN_CODING
Atm,11920,PROTEIN_CODING
Cd4,12504,PROTEIN_CODING
Creb1,12912,PROTEIN_CODING
Il1r1,16177,PROTEIN_CODING
Il2rg,16186,PROTEIN_CODING
Jun,16476,PROTEIN_CODING
P2rx7,18439,PROTEIN_CODING
Cxcl12,20315,PROTEIN_CODING
Snca,20617,PROTEIN_CODING
Ccnd1,12443,PROTEIN_CODING
Cd44,12505,PROTEIN_CODING
Fos,14281,PROTEIN_CODING
Sst,20604,PROTEIN_CODING
C3,12266,PROTEIN_CODING
Cd19,12478,PROTEIN_CODING
Slc6a3,13162,PROTEIN_CODING
Icam1,15894,PROTEIN_CODING
Il18,16173,PROTEIN_CODING
Stat6,20852,PROTEIN_CODING
Esr2,13983,PROTEIN_CODING
Fgf2,14173,PROTEIN_CODING
Il12b,16160,PROTEIN_CODING
Il33,77125,PROTEIN_CODING
Gad1,14415,PROTEIN_CODING
Gli1,14632,PROTEIN_CODING
Ifngr1,15979,PROTEIN_CODING
Mbp,17196,PROTEIN_CODING
Pax3,18505,PROTEIN_CODING
Per2,18627,PROTEIN_CODING
Bmal1,11865,PROTEIN_CODING
Cxcr4,12767,PROTEIN_CODING
Csf1,12977,PROTEIN_CODING
Myod1,17927,PROTEIN_CODING
Ntrk2,18212,PROTEIN_CODING
Tnfrsf1b,21938,PROTEIN_CODING
Cd40,21939,PROTEIN_CODING
Tcrd,110066,PROTEIN_CODING
Oprm1,18390,PROTEIN_CODING
Slc2a4,20528,PROTEIN_CODING
Vdr,22337,PROTEIN_CODING
Adora2a,11540,PROTEIN_CODING
Drd2,13489,PROTEIN_CODING
Gcg,14526,PROTEIN_CODING
Grin1,14810,PROTEIN_CODING
a,50518,PROTEIN_CODING
Prkaa1,105787,PROTEIN_CODING
Pdcd1,18566,PROTEIN_CODING
Pdgfra,18595,PROTEIN_CODING
Ptprc,19264,PROTEIN_CODING
T,20997,PROTEIN_CODING
Agtr1a,11607,PROTEIN_CODING
Csf2,12981,PROTEIN_CODING
Emx1,13796,PROTEIN_CODING
